boro_code,ct2010,c_lat,c_lon
5,000900,40.642,-74.083
1,009800,40.756,-73.968
1,010200,40.759,-73.974
1,010400,40.761,-73.978
1,011300,40.755,-73.988
1,013000,40.773,-73.965
1,018400,40.8,-73.945
1,020600,40.808,-73.939
1,024900,40.839,-73.936
1,026900,40.851,-73.931
3,000501,40.696,-73.995
3,005800,40.619,-74.032
3,006000,40.622,-74.032
3,007400,40.642,-74.017
3,007800,40.646,-74.012
3,009800,40.644,-74.008
3,010200,40.639,-74.013
3,010400,40.637,-74.008
3,012801,40.631,-74.013
3,013700,40.67,-73.985
3,013900,40.668,-73.987
3,015100,40.666,-73.983
3,015300,40.668,-73.981
3,015500,40.671,-73.979
3,017000,40.61,-74.013
3,018800,40.617,-74.003
3,019000,40.621,-74.0
3,019400,40.626,-74.001
3,019500,40.691,-73.967
3,019600,40.623,-74.004
3,019800,40.619,-74.007
3,020400,40.623,-74.013
3,021200,40.629,-74.006
3,022200,40.638,-73.993
3,023500,40.693,-73.958
3,023600,40.632,-73.99
3,023800,40.631,-73.991
3,024000,40.629,-73.993
3,024200,40.626,-73.993
3,024500,40.683,-73.952
3,024600,40.618,-73.981
3,024900,40.683,-73.948
3,025200,40.62,-73.992
3,025800,40.613,-73.987
3,026000,40.617,-73.992
3,026300,40.689,-73.945
3,026600,40.613,-73.99
3,026700,40.684,-73.944
3,026900,40.681,-73.943
3,027000,40.606,-73.99
3,027200,40.608,-73.993
3,027300,40.681,-73.937
3,027800,40.607,-74.001
3,027900,40.69,-73.939
3,028400,40.606,-73.999
3,028800,40.605,-73.997
3,029100,40.69,-73.934
3,029300,40.687,-73.933
3,029800,40.601,-73.988
3,030000,40.597,-73.989
3,030900,40.676,-73.933
3,031701,40.674,-73.95
3,032900,40.663,-73.948
3,033700,40.669,-73.942
3,033900,40.671,-73.942
3,034100,40.674,-73.945
3,034200,40.574,-73.997
3,038800,40.593,-73.969
3,039600,40.597,-73.97
3,039900,40.69,-73.918
3,040400,40.602,-73.985
3,041300,40.69,-73.911
3,041401,40.602,-73.971
3,041500,40.692,-73.914
3,041700,40.694,-73.918
3,041900,40.695,-73.921
3,042800,40.606,-73.984
3,042900,40.702,-73.923
3,043000,40.609,-73.984
3,043300,40.698,-73.916
3,043400,40.61,-73.977
3,043500,40.695,-73.912
3,043600,40.613,-73.978
3,043900,40.697,-73.909
3,044000,40.613,-73.971
3,044100,40.701,-73.914
3,044200,40.612,-73.966
3,044300,40.703,-73.917
3,044400,40.616,-73.969
3,044600,40.615,-73.976
3,045200,40.62,-73.968
3,045400,40.619,-73.965
3,047000,40.626,-73.987
3,047200,40.627,-73.984
3,047600,40.631,-73.981
3,049500,40.712,-73.943
